seq	मण्डलम्	सूक्तम्	अष्टकम्	अध्यायः	सूक्तम्
1	०१	०१	०१	०१	०१
2	०१	०२	०१	०१	०२
3	०१	०३	०१	०१	०३
4	०१	०४	०१	०१	०४
5	०१	०५	०१	०१	०५
6	०१	०६	०१	०१	०६
7	०१	०७	०१	०१	०७
8	०१	०८	०१	०१	०८
9	०१	०९	०१	०१	०९
10	०१	१०	०१	०१	१०
11	०१	११	०१	०१	११
12	०१	१२	०१	०१	१२
13	०१	१३	०१	०१	१३
14	०१	१४	०१	०१	१४
15	०१	१५	०१	०१	१५
16	०१	१६	०१	०१	१६
17	०१	१७	०१	०१	१७
18	०१	१८	०१	०१	१८
19	०१	१९	०१	०१	१९
20	०१	२०	०१	०२	०१
21	०१	२१	०१	०२	०२
22	०१	२२	०१	०२	०३
23	०१	२३	०१	०२	०४
24	०१	२४	०१	०२	०५
25	०१	२५	०१	०२	०६
26	०१	२६	०१	०२	०७
27	०१	२७	०१	०२	०८
28	०१	२८	०१	०२	०९
29	०१	२९	०१	०२	१०
30	०१	३०	०१	०२	११
31	०१	३१	०१	०२	१२
32	०१	३२	०१	०२	१३
33	०१	३३	०१	०३	०१
34	०१	३४	०१	०३	०२
35	०१	३५	०१	०३	०३
36	०१	३६	०१	०३	०४
37	०१	३७	०१	०३	०५
38	०१	३८	०१	०३	०६
39	०१	३९	०१	०३	०७
40	०१	४०	०१	०३	०८
41	०१	४१	०१	०३	०९
42	०१	४२	०१	०३	१०
43	०१	४३	०१	०३	११
44	०१	४४	०१	०३	१२
45	०१	४५	०१	०३	१३
46	०१	४६	०१	०३	१४
47	०१	४७	०१	०३	१५
48	०१	४८	०१	०४	०१
49	०१	४९	०१	०४	०२
50	०१	५०	०१	०४	०३
51	०१	५१	०१	०४	०४
52	०१	५२	०१	०४	०५
53	०१	५३	०१	०४	०६
54	०१	५४	०१	०४	०७
55	०१	५५	०१	०४	०८
56	०१	५६	०१	०४	०९
57	०१	५७	०१	०४	१०
58	०१	५८	०१	०४	११
59	०१	५९	०१	०४	१२
60	०१	६०	०१	०४	१३
61	०१	६१	०१	०४	१४
62	०१	६२	०१	०५	०१
63	०१	६३	०१	०५	०२
64	०१	६४	०१	०५	०३
65	०१	६५	०१	०५	०४
66	०१	६६	०१	०५	०५
67	०१	६७	०१	०५	०६
68	०१	६८	०१	०५	०७
69	०१	६९	०१	०५	०८
70	०१	७०	०१	०५	०९
71	०१	७१	०१	०५	१०
72	०१	७२	०१	०५	११
73	०१	७३	०१	०५	१२
74	०१	७४	०१	०५	१३
75	०१	७५	०१	०५	१४
76	०१	७६	०१	०५	१५
77	०१	७७	०१	०५	१६
78	०१	७८	०१	०५	१७
79	०१	७९	०१	०५	१८
80	०१	८०	०१	०५	१९
81	०१	८१	०१	०६	०१
82	०१	८२	०१	०६	०२
83	०१	८३	०१	०६	०३
84	०१	८४	०१	०६	०४
85	०१	८५	०१	०६	०५
86	०१	८६	०१	०६	०६
87	०१	८७	०१	०६	०७
88	०१	८८	०१	०६	०८
89	०१	८९	०१	०६	०९
90	०१	९०	०१	०६	१०
91	०१	९१	०१	०६	११
92	०१	९२	०१	०६	१२
93	०१	९३	०१	०६	१३
94	०१	९४	०१	०६	१४
95	०१	९५	०१	०७	०१
96	०१	९६	०१	०७	०२
97	०१	९७	०१	०७	०३
98	०१	९८	०१	०७	०४
99	०१	९९	०१	०७	०५
100	०१	१००	०१	०७	०६
101	०१	१०१	०१	०७	०७
102	०१	१०२	०१	०७	०८
103	०१	१०३	०१	०७	०९
104	०१	१०४	०१	०७	१०
105	०१	१०५	०१	०७	११
106	०१	१०६	०१	०७	१२
107	०१	१०७	०१	०७	१३
108	०१	१०८	०१	०७	१४
109	०१	१०९	०१	०७	१५
110	०१	११०	०१	०७	१६
111	०१	१११	०१	०७	१७
112	०१	११२	०१	०७	१८
113	०१	११३	०१	०८	०१
114	०१	११४	०१	०८	०२
115	०१	११५	०१	०८	०३
116	०१	११६	०१	०८	०४
117	०१	११७	०१	०८	०५
118	०१	११८	०१	०८	०६
119	०१	११९	०१	०८	०७
120	०१	१२०	०१	०८	०८
121	०१	१२१	०१	०८	०९
122	०१	१२२	०२	०१	०१
123	०१	१२३	०२	०१	०२
124	०१	१२४	०२	०१	०३
125	०१	१२५	०२	०१	०४
126	०१	१२६	०२	०१	०५
